Gene,cluster,padj
Gm27542,3,0.003290381
Plpp6,3,0.013764521
P4ha1,3,0.003280028
AC166172.6,3,0.034428291
Gm44429,3,7.42E-05
Gm48885,3,0.018064958
Nup107,3,7.67E-05
Ldb1,3,0.013558784
Gpr12,3,0.021907237
Gm16379,3,0.01429453
Gm37185,3,0.044988467
Ppia,3,0.035929371
Tbc1d10b,3,0.046676183
Gm10233,3,0.007965747
Gm10778,3,0.035149452
Gm25291,3,0.029413521
Nsd3,3,0.049928985
Gm17541,3,0.007582236
Gm45527,3,0.000395397
Gm8513,3,0.034787915
Gm12220,3,0.034264165
Mycl,3,0.008346805
Ube2b,3,0.036595215
Csnk1d,3,0.035149452
Ffar1,3,0.004376667
Gm7337,3,0.025422959
AC127331.2,3,0.040148338
Jph2,3,0.004398194
Xab2,3,0.044495628
Elob,3,0.036451468
Gm6630,3,0.032902394
Gm37568,3,0.033554223
Gm37563,3,0.017462996
Snora43,3,0.014272783
Gm18243,3,0.046950421
Gm22362,3,0.001615437
Tnnc1,3,0.038317839
Gm6007,3,0.03400406
Zfp97,3,0.008148104
Hook3,3,0.014193024
Gm7765,3,0.004423062
Gm31663,3,0.000578853
Tlr12,3,0.023609434
Gm16114,3,0.018619436
Gm7535,3,0.015093585
Gm5165,3,0.025982041
Tdg.ps,3,0.040777347
Irf1,3,0.019242567
Hars2,3,0.016011346
Gm11619,3,0.030385061
Gm43602,3,0.001507715
Gm47687,3,0.019679258
BC055308,3,0.013891232
Usp42,3,0.001641604
Gm25767,3,0.000167117
Rab33a,3,0.004022966
Lama4,3,0.003722108
Paip2,3,0.000293911
Gm5529,3,0.032075953
Gm10046,4,0.004055321
Gsn,4,0.013967692
Gm42907,4,0.049995604
Gm5776,4,0.048054718
Rps6kb2,4,0.035110988
Gm5630,4,0.020676127
Gmnn,4,0.000136685
Rpl21.ps4,4,0.01773712
Apbb3,4,0.02585839
Gm9002,4,0.000136685
Jmjd6,4,0.034264165
Gm7181,4,3.11E-06
Gm8260,4,0.039006183
Ankrd17,4,0.000707409
Rnf34,4,0.042320917
Gm7675,4,0.025343745
Gm3508,4,0.049684256
Ppp1r1a,4,0.021045643
Gm29718,4,0.000456677
Nmb,4,0.00359964
Gm7466,4,0.016572417
Gm5374,4,0.032093488
Dsp,4,0.005951344
Gm12936,4,0.040038832
Hmgb3.ps,4,0.013974063
Cntln,4,0.025641711
Mettl6,4,0.002985733
Lamtor2,4,0.020587738
Gm12751,4,0.037883982
Palld,4,0.007157102
Mcc,4,0.033713329
Fam177a,4,0.010767037
Cnpy4,4,0.025521305
Gm44247,4,0.043205576
Vps4a,4,0.023128736
Klhl5,4,0.034423703
Armc5,4,0.00017135
Arl6ip4,4,0.030568319
Zfp131,4,0.021727809
Gm20691,4,0.012191028
Ralgps1,4,0.008347158
Pid1,4,0.025078176
Cand1,4,0.048054718
Nop10,4,0.012800422
Dlg2,4,0.009930399
Ccdc80,4,0.005566556
X5031439G07Rik,4,0.01537429
Qtrt1,4,0.007927618
X1110012L19Rik,4,0.030851298
Mrm1,4,0.014154541
Gm5870,4,0.000662895
Gm10156,4,0.042770375
Ccn3,4,0.006942505
Gm7678,4,0.022001119
X2310002F09Rik,4,0.019660983
Gm12340,4,0.042309599
Gm12344,4,0.018041673
Ufd1,4,0.002613681
Gm36934,4,0.018064958
Rbp7,4,0.007087079
Gm37120,4,0.025236381
Ddo,4,3.87E-05
Gm17882,4,0.027092156
Rps19.ps8,4,0.007604857
Vma21.ps,4,0.002105613
Fam184a,4,0.028678959
Ric1,4,0.036398031
Lcmt2,4,0.025413647
